ostan,shahrestan,bakhsh,shahr,region,district,area,n_households,population,population_male,population_female
خراسان رضوی,مشهد,مرکزی,مشهد,1,1,782,29237,88425,43213,45212
خراسان رضوی,مشهد,مرکزی,مشهد,1,2,695,25984,78588,38406,40182
خراسان رضوی,مشهد,مرکزی,مشهد,2,1,1190,48748,158800,79500,79301
خراسان رضوی,مشهد,مرکزی,مشهد,2,2,1101,45102,146924,73554,73370
خراسان رضوی,مشهد,مرکزی,مشهد,2,3,716,29331,95547,47833,47714
خراسان رضوی,مشهد,مرکزی,مشهد,2,4,840,34411,112094,56117,55977
خراسان رضوی,مشهد,مرکزی,مشهد,3,1,567,19835,65584,33080,32503
خراسان رضوی,مشهد,مرکزی,مشهد,3,2,914,31974,105720,53325,52395
خراسان رضوی,مشهد,مرکزی,مشهد,3,3,1254,43868,145047,73162,71885
خراسان رضوی,مشهد,مرکزی,مشهد,3,4,574,20080,66393,33489,32904
خراسان رضوی,مشهد,مرکزی,مشهد,4,1,221,12601,43080,21603,21477
خراسان رضوی,مشهد,مرکزی,مشهد,4,2,270,15395,52632,26393,26239
خراسان رضوی,مشهد,مرکزی,مشهد,4,3,854,48695,166472,83479,82994
خراسان رضوی,مشهد,مرکزی,مشهد,5,1,600,20275,73270,36358,36911
خراسان رضوی,مشهد,مرکزی,مشهد,5,2,838,28318,102333,50781,51553
خراسان رضوی,مشهد,مرکزی,مشهد,6,1,527,18862,65450,32838,32613
خراسان رضوی,مشهد,مرکزی,مشهد,6,2,739,26449,91780,46048,45732
خراسان رضوی,مشهد,مرکزی,مشهد,6,3,607,21725,75386,37823,37563
خراسان رضوی,مشهد,مرکزی,مشهد,7,1,1708,27537,91154,46104,45050
خراسان رضوی,مشهد,مرکزی,مشهد,7,2,1998,32213,106631,53933,52699
خراسان رضوی,مشهد,مرکزی,مشهد,7,3,1039,16751,55450,28046,27404
خراسان رضوی,مشهد,مرکزی,مشهد,8,1,316,4908,15144,7522,7622
خراسان رضوی,مشهد,مرکزی,مشهد,8,2,953,14800,45672,22686,22986
خراسان رضوی,مشهد,مرکزی,مشهد,8,3,662,10281,31726,15759,15967
خراسان رضوی,مشهد,مرکزی,مشهد,9,1,2004,46178,146498,72520,73978
خراسان رضوی,مشهد,مرکزی,مشهد,9,2,1108,25531,80998,40096,40902
خراسان رضوی,مشهد,مرکزی,مشهد,9,3,1362,31384,99566,49287,50278
خراسان رضوی,مشهد,مرکزی,مشهد,10,1,709,27952,90166,45218,44948
خراسان رضوی,مشهد,مرکزی,مشهد,10,2,643,25350,81773,41009,40764
خراسان رضوی,مشهد,مرکزی,مشهد,10,3,982,38715,124884,62629,62255
خراسان رضوی,مشهد,مرکزی,مشهد,11,1,825,32554,107508,55016,52493
خراسان رضوی,مشهد,مرکزی,مشهد,11,2,711,28055,92653,47413,45239
خراسان رضوی,مشهد,مرکزی,مشهد,12,1,1770,7217,22853,11549,11303
خراسان رضوی,مشهد,مرکزی,مشهد,12,2,1303,5313,16823,8502,8321
خراسان رضوی,مشهد,مرکزی,مشهد,12,3,3431,13990,44298,22387,21911
خراسان رضوی,مشهد,مرکزی,مشهد,13,1,51,648,1986,1024,962
خراسان رضوی,مشهد,مرکزی,مشهد,13,2,132,1678,5139,2650,2490
خراسان رضوی,مشهد,مرکزی,مشهد,13,3,110,1398,4283,2208,2075
خراسان رضوی,مشهد,مرکزی,مشهد,13,4,63,801,2453,1265,1188
خراسان رضوی,مشهد,مرکزی,روستایی,1,1,0,79876,279184,142854,136330
خراسان رضوی,مشهد,رضویه,رضویه,1,1,142.006,2586,8850,4316,4534
خراسان رضوی,مشهد,رضویه,روستایی,1,1,0,14210,50382,25785,24597
خراسان رضوی,مشهد,احمدآباد,ملک آباد,1,1,101.909,620,2056,1053,1003
خراسان رضوی,مشهد,احمدآباد,بینالود,1,1,838.275,1770,5635,2815,2820
خراسان رضوی,مشهد,احمدآباد,روستایی,1,1,0,9571,30932,15712,15220
