region,district,area,population,population_male,population_female,n_households
1,1,740,83504,42696,40808,27611
1,2,740,83504,42696,40808,27611
2,1,881,128603,64224,64379,39462
2,2,881,128603,64224,64379,39462
2,3,881,128603,64224,64379,39462
2,4,881,128603,64224,64379,39462
3,1,810,104488,51762,52726,31415
3,2,810,104488,51762,52726,31415
3,3,810,104488,51762,52726,31415
3,4,810,104488,51762,52726,31415
4,1,446,87313,43530,43783,25541
4,2,446,87313,43530,43783,25541
4,3,446,87313,43530,43783,25541
5,1,707,87922,44291,43631,24331
5,2,707,87922,44291,43631,24331
6,1,642,77536,38635,38902,22345
6,2,642,77536,38635,38902,22345
6,3,642,77536,38635,38902,22345
7,1,1562,85521,42254,43267,25841
7,2,1562,85521,42254,43267,25841
7,3,1562,85521,42254,43267,25841
8,1,639,29739,14989,14750,9655
8,2,639,29739,14989,14750,9655
8,3,639,29739,14989,14750,9655
9,1,1484,109000,55042,53959,34359
9,2,1484,109000,55042,53959,34359
9,3,1484,109000,55042,53959,34359
10,1,778,98941,49322,49619,30673
10,2,778,98941,49322,49619,30673
10,3,778,98941,49322,49619,30673
11,1,768,100081,48866,51215,30305
11,2,768,100081,48866,51215,30305
12,1,2049,36290,17923,18367,11193
12,2,2049,36290,17923,18367,11193
12,3,2049,36290,17923,18367,11193
13,1,89,3462,1677,1785,1130
13,2,89,3462,1677,1785,1130
13,3,89,3462,1677,1785,1130
13,4,89,3462,1677,1785,1130
